idade,energia_consumo_automatico_kwh,lote_composto,racao_consumo_g_ave,racao_referencia_g_ave,gmd_g,gmd_referencia_g,mortalidade_acumulada_percent,mortalidade_referencia_percent
21,128.896,1283-19,2695.31884765625,5350.946,47.35820604219664,47.58257142857143,0.0904139193331422,0.05
22,141.875,1283-19,,5569.194,49.16737525720894,49.143136363636366,0.1523918901011528,0.05
23,189.13,1283-19,,5786.88,50.59668613255617,50.655869565217394,0.150409201504092,0.05
24,156.888,1283-19,,6004.95,50.76334604573629,52.12854166666666,0.132890365448505,0.05
25,197.413,1283-19,,6180.755,52.107717115842,53.52468,0.0775795190069821,0.05
26,212.27,1283-19,,6488.928,53.24213638800973,54.89115384615385,0.117615729439439,0.05
27,180.239,1283-19,,6727.2,53.95891608353014,56.23444444444444,0.4771673207277916,0.05
28,195.028,1283-19,5384.6748046875,6988.644,55.06862673256344,57.51557142857143,0.1093774414607468,0.05
29,185.226,1283-19,7172.38671875,7156.64,55.29850804160897,58.745413793103445,0.156498021417872,0.05
30,201.63,1283-19,7109.96484375,7313.416,55.12308017831262,59.92766666666667,0.302731309144728,0.05
31,216.48,1283-19,7723.82958984375,7417.639,54.88771887625715,61.098838709677416,0.3984960713240426,0.05
32,254.142,1283-19,8028.953247070312,7517.91,57.40027364732302,62.1968125,0.4386857517581349,0.05
33,141.081,1283-19,8892.327514648438,7668.18,59.980159600351165,63.25951515151515,0.3471749489448604,0.05
34,179.584,1283-19,9321.0732421875,7771.362,60.54846455616958,64.28879411764706,0.37352525850681,0.05
35,221.476,1283-19,8409.717163085938,7827.491,62.06912870026312,65.26048571428572,0.4047657161151639,0.05
36,205.394,1283-19,8847.7255859375,7922.096,62.437453925180776,66.17819444444444,0.4617717331372909,0.15
37,219.16,1283-19,7754.07177734375,8044.872,63.88986419330025,67.07302702702702,0.6381207805419402,0.15
38,260.966,1283-19,9054.779296875,8166.96,64.49569677584523,67.9218947368421,0.6234878094174576,0.15
39,281.423,1283-19,8779.167724609375,8243.802,66.47759618153717,68.75258974358974,0.6321112515802781,0.15
40,300.807,1283-19,8057.1219482421875,8347.087,66.23176703588774,69.517025,0.8095159425078473,0.15
41,266.75,1283-19,4596.477783203125,8601.313,66.3930086111621,70.2431219512195,,0.15
42,281.901,1283-19,3539.482788085937,8813.168,,70.93566666666666,,0.15
0,98.912,1283-20,820.1,0.0,,0.0,,0.15
1,97.868,1283-20,1070.58,570.973,13.344400651923811,23.5,0.1730379545092324,0.15
2,110.561,1283-20,1319.63,745.042,19.643096430689017,17.907,0.2167663031077442,0.15
3,94.648,1283-20,1443.82,919.401,21.99771422104263,17.907,0.1027843128297663,0.15
4,104.714,1283-20,1692.02,1005.238,22.157319962546868,18.74125,0.1716011531597492,0.15
5,123.389,1283-20,1940.24,1178.577,21.30115823292694,20.586,0.125999404366452,0.15
6,147.435,1283-20,2187.23,1351.104,22.927871148971303,22.567833333333333,0.1537261380323054,0.15
7,132.106,1283-20,2309.4,1523.585,23.686396144148667,24.137857142857143,0.1217523144425811,0.15
8,152.598,1283-20,2682.11,1609.574,23.52062417309453,26.020375,0.0666636016734862,0.05
9,142.933,1283-20,3116.87,1869.468,26.482780581004523,28.226111111111116,0.0598031097617076,0.05
10,161.51,1283-20,3551.44,2172.7,27.123982712052804,30.3244,0.0506282505638146,0.05
11,129.962,1283-20,3468.819580078125,2475.225,28.84865768555244,32.553909090909094,0.0667818077144502,0.05
12,85.45,1283-20,3098.8291015625,2776.064,31.422379376959714,34.68991666666667,0.1129656953153817,0.05
13,121.336,1283-20,3702.412353515625,3120.264,34.170175819155176,36.75761538461538,0.0899923852597087,0.05
14,98.673,1283-20,3815.700927734375,3203.83,35.19728550492794,38.8455,0.0970088924818108,0.05
15,76.131,1283-20,4114.0302734375,3373.422,37.470197761791376,40.80853333333334,0.10636084071308,0.05
16,70.709,1283-20,4516.0029296875,3673.105,37.590078091382246,42.8023125,0.083308263716937,0.05
17,15.298,1283-20,4426.8193359375,3930.108,40.047771990894674,44.76058823529412,0.057886449939798,0.05
18,,1283-20,4648.81494140625,4445.789,40.40669654117641,46.62661111111111,0.0579199777587285,0.05
19,,1283-20,6753.8974609375,4745.18,41.83256206827233,48.47184210526316,0.0579535444387778,0.05
20,,1283-20,4950.132568359375,4913.286,42.90873372502414,50.30175,0.0904893384997331,0.05
21,,1283-20,5578.679443359375,5081.08,43.92536417399945,52.008857142857146,0.0905712958662331,0.05
22,,1283-20,6336.7822265625,5277.561,42.43910939778356,53.71459090909091,0.3565851725825623,0.05
23,,1283-20,4584.5537109375,5488.512,45.596173181295214,55.36804347826087,0.0653000303178712,0.05
24,,1283-20,7710.68701171875,5696.523,45.90357551561005,56.97770833333333,0.1120683617006373,0.05
25,,1283-20,7492.7508544921875,5863.463,41.51103092772237,58.50372,0.0747681020584593,0.05
26,,1283-20,7625.72509765625,6157.296,53.274864918710506,59.99730769230769,0.0935475572394115,0.05
27,,1283-20,7709.046875,6411.6,56.411415197750586,61.465555555555554,0.0350926445816956,0.05
28,,1283-20,7404.2041015625,6659.952,57.0506214107786,62.865857142857145,0.1218026796589525,0.05
29,,1283-20,7081.958984375,6821.6,57.08845893081935,64.21010344827586,0.1336929752550721,0.05
30,,1283-20,7595.12744140625,6965.408,57.96959143047807,65.50233333333334,0.3837822565454888,0.05
31,,1283-20,8396.878662109375,7068.776,58.20036991573449,66.78245161290323,0.3402003402003402,0.05
32,,1283-20,8062.02734375,7186.58,46.31045945462856,67.9825625,0.1277380896059043,0.05
33,,1283-20,8351.239501953125,7341.06,60.66447270718312,69.1441212121212,0.1990993126333254,0.05
34,,1283-20,8393.690063476562,7439.133,67.68599161381943,70.26914705882353,0.3830688334245402,0.05
35,,1283-20,9385.52880859375,7499.384,68.82136892164257,71.33122857142857,0.3174527401183883,0.05
36,,1283-20,8179.57568359375,7597.044,71.1794633984527,72.33430555555556,0.3689329691917014,0.15
37,,1283-20,8198.0341796875,7732.392,71.77482629973454,73.31237837837838,0.4089290868854036,0.15
38,,1283-20,8886.811279296875,7881.39,72.37883893853471,74.24021052631579,0.2193775463465201,0.15
39,,1283-20,8148.2568359375,7991.358,75.5167931519327,75.14817948717949,0.1811331691059266,0.15
40,,1283-20,9247.3984375,8143.783,75.6930860778279,75.983725,0.1620745542949757,0.15
41,,1283-20,7954.107421875,8378.013,73.21338316738273,76.77736585365854,0.1647646046860992,0.15
42,,1283-20,321.745361328125,8562.32,,77.53433333333334,0.2575003036560184,0.15
